,Name,Type,str_50_type,mid_50_type,mid_10_type,mid_25_type,mid_75_type,mid_90_type,Region,str_50_region,mid_50_region,mid_10_region,mid_25_region,mid_75_region,mid_90_region,Major,str_50_major,mid_50_major,percentage_str_to_mid_major,mid_10_major,mid_25,mid_75_major,mid_90_major
166,University of Wisconsin (UW) - Milwaukee,State,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0,Midwestern,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0,,,,,,,,
167,Penn State - Harrisburg,State,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0,Northeastern,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0,,,,,,,,
168,University of North Carolina at Charlotte (UNCC),State,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0,Southern,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0,,,,,,,,
169,Georgia State University,State,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0,Southern,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0,,,,,,,,
170,Western Michigan University (WMU),State,42300.0,73800.0,40100.0,52500.0,103000.0,135000.0,Midwestern,42300.0,73800.0,40100.0,52500.0,103000.0,135000.0,,,,,,,,
171,South Dakota State University (SDSU),State,41100.0,73500.0,34100.0,49900.0,99400.0,129000.0,Midwestern,41100.0,73500.0,34100.0,49900.0,99400.0,129000.0,,,,,,,,
172,Idaho State University,State,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0,Western,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0,,,,,,,,
173,Illinois State University,State,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0,Midwestern,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0,,,,,,,,
174,Cleveland State University,State,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0,Midwestern,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0,,,,,,,,
175,"University of Alaska, Anchorage",State,45900.0,72600.0,39800.0,56600.0,99300.0,137000.0,Western,45900.0,72600.0,39800.0,56600.0,99300.0,137000.0,,,,,,,,
176,Fitchburg State College,State,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0,Northeastern,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0,,,,,,,,
177,University of Nebraska at Omaha,State,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0,Midwestern,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0,,,,,,,,
178,Southern Illinois University Carbondale,State,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0,Midwestern,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0,,,,,,,,
179,University of Texas at El Paso (UTEP),State,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0,Southern,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0,,,,,,,,
180,"California State University, Dominguez Hills (CSUDH)",State,42700.0,72100.0,30800.0,47000.0,92200.0,132000.0,California,42700.0,72100.0,30800.0,47000.0,92200.0,132000.0,,,,,,,,
